"tb_city (S)","tb_month (S)","tb_value (S)"
"bengaluru","april","0"
"bengaluru","august","103"
"bengaluru","july","50"
"bengaluru","june","10"
"bengaluru","march","0"
"bengaluru","may","0"
"chennai","april","0"
"chennai","august","13"
"chennai","july","0"
"chennai","june","0"
"chennai","march","0"
"chennai","may","0"
"delhi","april","18"
"delhi","august","99"
"delhi","july","79"
"delhi","june","86"
"delhi","march","16"
"delhi","may","39"
"hyderabad","april","0"
"hyderabad","august","34"
"hyderabad","july","20"
"hyderabad","june","9"
"hyderabad","march","1"
"hyderabad","may","7"
"kolkata","april","0"
"kolkata","august","22"
"kolkata","july","18"
"kolkata","june","0"
"kolkata","march","0"
"kolkata","may","0"
"mumbai","april","1"
"mumbai","august","85"
"mumbai","july","89"
"mumbai","june","38"
"mumbai","march","1"
"mumbai","may","20"
"pune","april","1"
"pune","august","78"
"pune","july","102"
"pune","june","55"
"pune","march","1"
"pune","may","11"
