"tb_city (S)","tb_month (S)","tb_value (S)"
"bengaluru","april","0"
"bengaluru","august","227"
"bengaluru","july","119"
"bengaluru","june","14"
"bengaluru","march","0"
"bengaluru","may","0"
"chennai","april","0"
"chennai","august","21"
"chennai","july","0"
"chennai","june","0"
"chennai","march","0"
"chennai","may","0"
"delhi","april","29"
"delhi","august","368"
"delhi","july","292"
"delhi","june","240"
"delhi","march","63"
"delhi","may","106"
"hyderabad","april","0"
"hyderabad","august","58"
"hyderabad","july","45"
"hyderabad","june","19"
"hyderabad","march","3"
"hyderabad","may","9"
"kolkata","april","0"
"kolkata","august","40"
"kolkata","july","26"
"kolkata","june","0"
"kolkata","march","0"
"kolkata","may","0"
"mumbai","april","1"
"mumbai","august","269"
"mumbai","july","126"
"mumbai","june","85"
"mumbai","march","4"
"mumbai","may","29"
"pune","april","1"
"pune","august","127"
"pune","july","122"
"pune","june","72"
"pune","march","3"
"pune","may","11"
