"tb_city (S)","tb_month (S)","tb_value (S)"
"bangalore","april","0"
"bangalore","august","547305"
"bangalore","july","260239"
"bangalore","june","27840"
"bangalore","march","0"
"bangalore","may","0"
"chennai","april","0"
"chennai","august","61630"
"chennai","july","0"
"chennai","june","0"
"chennai","march","0"
"chennai","may","0"
"delhi","april","63113"
"delhi","august","808905"
"delhi","july","603601"
"delhi","june","518553"
"delhi","march","116507"
"delhi","may","238487"
"hyderabad","april","0"
"hyderabad","august","134914"
"hyderabad","july","89500"
"hyderabad","june","39300"
"hyderabad","march","7468"
"hyderabad","may","17360"
"kolkata","april","0"
"kolkata","august","89323"
"kolkata","july","61540"
"kolkata","june","0"
"kolkata","march","0"
"kolkata","may","0"
"mumbai","april","2100"
"mumbai","august","764100"
"mumbai","july","360474"
"mumbai","june","195504"
"mumbai","march","9708"
"mumbai","may","77183"
"pune","april","3264"
"pune","august","294257"
"pune","july","269016"
"pune","june","162707"
"pune","march","5440"
"pune","may","29584"
